Priority,Venue / Operator,Sports / Inventory,City,Contact / Role,Email or Form,Phone,Address,Why it is a fit,Rental signal,Source URL,Verified
"B","Blue Sky Sports Center — The Colony","Indoor soccer; lacrosse","The Colony","Jane Nauman — President","jane.nauman@blueskysportscenter.com","469-384-3400","7801 Main St, The Colony, TX 75056","Indoor sports operator with multiple DFW locations","Contact to confirm rental product","https://www.sportsengine.com/org/blue-sky-sports-center","2026-07-30"
"B","Blue Sky Sports Center — Allen","Indoor soccer; lacrosse","Allen","Central operator contact","jane.nauman@blueskysportscenter.com","469-384-3400","950 E Main St, Allen, TX 75002","Same multi-location operator; distinct North DFW catchment","Contact to confirm rental product","https://www.linkedin.com/company/blue-sky-sports-center","2026-07-30"
"B","Blue Sky Sports Center — Euless","Indoor soccer; lacrosse","Euless","Central operator contact","jane.nauman@blueskysportscenter.com","469-384-3400","100 E Midway Dr, Euless, TX 76039","Same multi-location operator; serves Mid-Cities","Contact to confirm rental product","https://www.linkedin.com/company/blue-sky-sports-center","2026-07-30"
"B","Blue Sky Sports Center — Keller","Indoor soccer; lacrosse","Keller","Central operator contact","jane.nauman@blueskysportscenter.com","469-384-3400","331 Golden Triangle Blvd, Keller, TX 76248","Same multi-location operator; serves northeast Tarrant","Contact to confirm rental product","https://www.linkedin.com/company/blue-sky-sports-center","2026-07-30"
"B","Boys & Girls Clubs of Greater Dallas","Gyms; outdoor courts; fields","Dallas; Mesquite; Grand Prairie","Sports facility rentals / Catch Corner","Catch Corner booking link","Online booking","Multiple DFW sites","Nine listed rentals across East/West Dallas, Oak Cliff, Mesquite, and Grand Prairie","Explicit rentals","https://www.bgcdallas.org/sports-facility-rentals/","2026-07-30"
"B","YMCA of Fort Worth Sports Complex","Multi-sport tournament facility","Fort Worth","Sports Complex rental team","Rental inquiry form","Use inquiry form","Fort Worth, TX","States it rents for organizations and tournaments","Explicit rentals","https://ymcafw.org/sports-complex/","2026-07-30"
"B","Samuell Grand Tennis Center","Tennis","Dallas","Midcourt Tennis Academy","Facility contact page","Use contact page","Dallas, TX","Public, city-owned tennis center operated by Midcourt Tennis Academy","Contact to confirm partnership model","https://www.dallasparks.org/facilities/facility/details/Samuell-Grand-Tennis-Center-53","2026-07-30"
"C","City of Dallas Park & Recreation","Soccer; football; rugby; lacrosse; baseball; softball; tennis; pickleball","Dallas","Athletics, Events & Reservations Office","Reservation request form","214-670-8740","10030 E Northwest Hwy, Dallas, TX 75238","Single partnership can cover 287 athletic fields; good civic-platform prospect","Municipal reservations","https://www.dallasparks.org/370/Athletic-Field-Reservations","2026-07-30"
"C","MoneyGram Soccer Park at Elm Fork","Soccer","Dallas","Andy Sholl / City of Dallas reservations","City park contact page","214-670-8740","2100 Walnut Hill Ln, Dallas, TX 75229","Named City of Dallas soccer-park reservation contact; may merit direct venue partnership","Municipal reservations","https://www.dallasparks.org/138/2718/Football-Fields","2026-07-30"
"C","City of Frisco Parks & Recreation","Soccer; baseball; softball; football; practice fields","Frisco","Blake Grimmett — athletic field reservations","playfrisco@friscotexas.gov","972-292-6500","6726 Walnut St, Frisco, TX 75034","City program leases game/practice fields; strong tournament market","Municipal reservations","https://www.friscotexas.gov/1250/Athletic-Field-Reservations","2026-07-30"
"C","City of Fort Worth Parks & Recreation","Fields; baseball; softball; soccer; gyms; racquetball","Fort Worth","Athletics / Haws Athletic Center","Online ActiveNet reservation","817-392-7690","600 Congress St, Fort Worth, TX 76107","Citywide athletic rentals for games, practices, and special events","Municipal reservations","https://www.fortworthtexas.gov/departments/parks/services/sports/fields-athletic-facilities","2026-07-30"
