"Category","Venue","Sport(s)","City","Website","Contact information","Address","How players buy access","Source"
"Pickleball","Preston Playhouse","Pickleball; padel","Dallas","https://www.prestonpickleball.com/","972-385-3641 | info.prestonplayhouse@gmail.com","13130 Preston Rd, Dallas, TX 75240","Indoor courts, open play and private events","https://www.prestonpickleball.com/"
"Pickleball","Oasis Pickleball Club","Pickleball; tennis; padel","Rockwall","https://oasispickleballclub.com/","972-772-7768 | party coordinator 214-206-7911","5757 State Hwy 205, Rockwall, TX 75032","Drop-in, leagues, tournaments and company events","https://business.rockwallchamber.org/list/member/oasis-pickleball-club-8848"
"Pickleball","Courtside Kitchen","Pickleball","Fort Worth","https://www.courtsidekitchenfw.com/","682-255-5751 | private events 817-229-6133","1615 Rogers Rd, Fort Worth, TX 76107","Court booking, leagues and private events","https://www.courtsidekitchenfw.com/events"
"Pickleball","The Picklr","Pickleball","McKinney","https://thepicklr.com/location/mckinney/","469-577-1711 | mckinney.tx@thepicklrfranchise.com","2975 Craig Dr, McKinney, TX 75072","Public court booking, leagues, clinics and events","https://thepicklr.com/location/mckinney/"
"Pickleball","The Picklr","Pickleball","White Settlement","https://thepicklr.com/location/west-fort-worth/","817-730-4206 | wfortworth.tx@thepicklrfranchise.com","1705 S Cherry Ln, White Settlement, TX 76108","Public court booking, leagues, clinics and events","https://thepicklr.com/location/west-fort-worth/"
"Pickleball","Ace Pickleball Club","Pickleball","Frisco","https://www.acepickleballclub.com/frisco-tx","972-987-6155 | friscotx@acepickleballclub.com","2930 Preston Rd, Frisco, TX 75034","Membership, court reservations and private events","https://www.acepickleballclub.com/frisco-tx"
"Pickleball","Pickleball Kingdom","Pickleball","Plano","https://pickleballkingdom.com/clubs/plano-tx/","469-595-9773 | info@pkplano.com","1301 Custer Rd, Suite 200, Plano, TX 75075","Court reservations, open play, leagues and events","https://pickleballkingdom.com/clubs/plano-tx/"
"Pickleball","The Courts of McKinney","Tennis; pickleball","McKinney","https://impactactivities.com/mckinney","972-547-2012 | mckinney@impactactivities.com","3253 Alma Rd, McKinney, TX 75070","Hourly/daily/annual passes, court reservations and tournament rentals","https://www.mckinneytexas.org/588/Tennis"
"Pickleball","Fretz Tennis Center","Tennis; pickleball","Dallas","https://www.impactactivities.com/fretztennisreservations","214-670-8740 | booking on website","14700 Hillcrest Rd, Dallas, TX 75254","Reservable tennis and pickleball courts","https://www.impactactivities.com/fretztennisreservations"
"Pickleball","ACTIV Center / Centennial Park","Pickleball","Arlington","https://www.arlingtontx.gov/Parks-Places/Facilities/Recreation-Centers/ACTIV-Center","817-575-3400","2061 W Green Oaks Blvd, Arlington, TX 76013","Paid/reservable courts and programs; individual facility","https://www.arlingtontx.gov/Parks-Places/Facilities/Recreation-Centers/ACTIV-Center"
"Volleyball","The Sports Garden","Sand volleyball","Coppell","https://www.sportsgardendfw.com/","469-464-4257 | info@sportsgardendfw.com","1850 E Belt Line Rd, Coppell, TX 75019","Court booking, leagues, tournaments and group events","https://www.sportsgardendfw.com/faqs/"
"Volleyball","The Sportsplex","Basketball; volleyball; turf; batting cages","Dallas","https://www.dallassportsplex.com/","972-385-5416 | info@dallassportsplex.com","5702 Alpha Rd, Dallas, TX 75240","Full/half basketball and volleyball court rentals","https://www.dallassportsplex.com/copy-of-facility-rentals"
"Volleyball","Southwest Athletic Center (SWAC)","Volleyball; basketball","Carrollton","https://swacdfw.com/","214-677-5574 | info@swacdfw.com","2800 N Interstate 35E, Carrollton, TX 75007","Court-rental inquiries accepted for volleyball and basketball","https://swacdfw.com/contact/"
"Volleyball","StarCenter Multisport – Farmers Branch","Basketball; volleyball; pickleball; ice hockey","Farmers Branch","https://www.starcentermultisport.com/","214-432-3126 | pnewman@dallasstars.com","Farmers Branch, TX","Hourly court rentals","https://www.starcentermultisport.com/open-court-rental"
"Volleyball","StarCenter Multisport – Northlake","Basketball; volleyball; pickleball; ice hockey","Northlake","https://www.starcentermultisport.com/","edroegemeier@dallasstars.com | contact form","Northlake, TX","Hourly court rentals","https://www.starcentermultisport.com/contact"
"Volleyball","StarCenter Multisport at The MAC","Basketball; volleyball; pickleball; ice hockey","Lewisville","https://www.starcentermultisport.com/","jallen@dallasstars.com | contact form","The MAC, Lewisville, TX","Court-sports programming; contact for rental blocks","https://www.starcentermultisport.com/contact"
"Volleyball","Game On Sports Complex","Basketball; volleyball; futsal; beach volleyball; lacrosse; turf","Fort Worth","https://www.gameonfw.com/","817-367-7800 | support@gameonfw.com","2600 Alemeda St, Fort Worth, TX 76108","Sport-specific rentals and tournament use","https://www.gameonfw.com/complex-rentals"
"Volleyball","FieldhouseUSA","Basketball; volleyball; multi-sport","Frisco","https://fieldhouseusa.com/","972-668-6207 | location inquiry form","6155 Sports Village Rd, Frisco, TX 75033","Multi-purpose indoor facility; book with local team","https://fieldhouseusa.com/"
"Volleyball","FieldhouseUSA","Basketball; volleyball; multi-sport","Grapevine","https://fieldhouseusa.com/","972-668-6207 | location inquiry form","Grapevine, TX","Multi-purpose indoor facility; book with local team","https://fieldhouseusa.com/"
"Volleyball","FieldhouseUSA","Basketball; volleyball; multi-sport","Mansfield","https://fieldhouseusa.com/","972-668-6207 | location inquiry form","Mansfield, TX","Multi-purpose indoor facility; book with local team","https://fieldhouseusa.com/"
"Volleyball","Drive Nation Sports","Basketball; volleyball; turf","Irving","https://drivenationsports.com/","972-456-1200 | website contact","2550 Rental Car Dr, Irving, TX 75261","Court/turf facility used for leagues and rentals","https://ntrvolleyball.net/region-facilities/"
"Volleyball","Duncanville Fieldhouse","Basketball; volleyball","Duncanville","https://duncanvillefieldhouse.hosted2.civiclive.com/","972-331-8868","1700 S Main St, Duncanville, TX 75137","Six basketball / ten regulation volleyball courts for rental","https://duncanvillefieldhouse.hosted2.civiclive.com/rental"
"Volleyball","TBP Athletic Complex","Basketball; volleyball; cheer; martial arts","Dallas","https://www.dallasyouthsports.org/","Rental request form on website","2524 W Ledbetter Dr, Dallas, TX 75233","Practice, tournament, competition and event rentals","https://www.dallasyouthsports.org/Default.aspx?tabid=1427812"
"Volleyball","JCC of Dallas","Basketball; volleyball; soccer; softball; flag football","Dallas","https://www.jccdallas.org/special-events/room-rentals","214-239-7147 | tjohnson@jccdallas.org","7900 Northaven Rd, Dallas, TX 75230","Gym and lighted field rentals","https://www.jccdallas.org/special-events/room-rentals"
"Volleyball","DFW Family Church Gym","Basketball; volleyball; futsal","Irving","https://www.dfwfamilychurch.com/gym","Website rental inquiry","Irving, TX","Court rentals and sports-club use","https://www.dfwfamilychurch.com/gym"
"Volleyball","House of Hustle","Basketball","Fort Worth","https://www.thehouseofhustle.org/","Website availability request","Fort Worth, TX","Hourly full-court rentals","https://www.thehouseofhustle.org/basketball-party-rentals"
"Volleyball","360 Elite Arena","Basketball; volleyball","Arlington","https://360elitearenaofarlington.com/","Website rental inquiry","1600 Interstate 20 W, Arlington, TX 76017","Court rentals and long-term rental inquiries","https://360elitearenaofarlington.com/court-rentals/"
"Volleyball","Ironline Sports Complex","Basketball; volleyball; pickleball; baseball/softball","Whitesboro","https://ironlinesports.com/","940-580-1011 | info@ironlinesports.com","9129 FM 678, Whitesboro, TX 76273","Published hourly court and pickleball rentals","https://ironlinesports.com/"
"Volleyball","EPIC Central / The Epic","Basketball; volleyball; pickleball; dodgeball","Grand Prairie","https://jointheepic.com/","EpicRentals@gptx.org","2960 Epic Place, Grand Prairie, TX 75052","Private sport-court rentals","https://jointheepic.com/service/gym-parties/"
"Soccer","World Cup Indoor Soccer","Indoor soccer","Dallas","https://worldcupindoor.com/","214-909-1014","2600 Northaven Rd, Suite 200, Dallas, TX 75229","Indoor soccer play and training facility","https://www.loc8nearme.com/texas/dallas/world-cup-indoor-soccer/7637664/"
"Soccer","Soccer Spectrum","Indoor/outdoor soccer","Richardson","https://www.soccerspectrum.com/","972-644-8845 | Info@SoccerSpectrum.com","1251 Digital Dr, Richardson, TX 75081","Indoor/outdoor field rentals and facility buyouts","https://www.soccerspectrum.com/rentals"
"Soccer","The Soccer Box","Indoor small-sided soccer","Dallas","https://www.thesoccerbox.com/","214-272-9030 | psamuels@thesoccerbox.com","Dallas, TX","Online small/large field rental","https://www.thesoccerbox.com/indoor-soccer-field/"
"Soccer","Dallas SoccerPlex","Indoor soccer","Dallas","https://dallassoccerplex.com/","214-792-9732 | jorge@dallassoccerplex.com","1315 S Henderson Ave, Dallas, TX 75223","One-time and recurring indoor field rentals","https://dallassoccerplex.com/field-rental/"
"Soccer","FUT360 Dallas","Indoor/outdoor soccer","Dallas","https://www.fut360dallas.com/","214-454-5847 | fut360dallas@gmail.com","3620 W Davis St, Dallas, TX 75211","Indoor/outdoor turf available for rent","https://www.sportsengine.com/org/fut-360-dallas"
"Soccer","Indoor Soccer Arena","Soccer; futsal; football; lacrosse; baseball","Carrollton","https://indoorsoccerarenatx.com/","972-505-2836 | help@indoorsoccerarenatx.com","1000 W Crosby Rd, Suites 114-120, Carrollton, TX 75006","Online climate-controlled field rentals","https://indoorsoccerarenatx.com/field-facility-rentals/"
"Soccer","Blue Sky Sports Center","Indoor soccer; lacrosse","The Colony","https://www.blueskysportscenter.com/","469-384-3400 | jane.nauman@blueskysportscenter.com","7801 Main St, The Colony, TX 75056","Indoor soccer operator; contact for availability","https://www.sportsengine.com/org/blue-sky-sports-center"
"Soccer","Blue Sky Sports Center","Indoor soccer; lacrosse","Allen","https://www.blueskysportscenter.com/","469-384-3400 | jane.nauman@blueskysportscenter.com","950 E Main St, Allen, TX 75002","Indoor soccer operator; contact for availability","https://www.linkedin.com/company/blue-sky-sports-center"
"Soccer","Blue Sky Sports Center","Indoor soccer; lacrosse","Euless","https://www.blueskysportscenter.com/","469-384-3400 | jane.nauman@blueskysportscenter.com","100 E Midway Dr, Euless, TX 76039","Indoor soccer operator; contact for availability","https://www.linkedin.com/company/blue-sky-sports-center"
"Soccer","Blue Sky Sports Center","Indoor soccer; lacrosse","Keller","https://www.blueskysportscenter.com/","469-384-3400 | jane.nauman@blueskysportscenter.com","331 Golden Triangle Blvd, Keller, TX 76248","Indoor soccer operator; contact for availability","https://www.linkedin.com/company/blue-sky-sports-center"
"Soccer","DFW Indoor Sports","Soccer; cricket; badminton; volleyball; pickleball; baseball; dodgeball","Fort Worth","https://dfwindoorsports.com/","817-938-0808 | info@dfwindoorsports.com","16230 Three Wide Dr, Suite 200, Fort Worth, TX 76177","Online indoor field/court/lane rentals","https://dfwindoorsports.com/rentals/"
"Soccer","Extreme Studio Performance","Soccer; football; lacrosse","Dallas","https://www.extremestudioperformance.com/fields/","214-389-4001 | info@espfit.net","4435 McEwen Rd, Dallas, TX 75244","Two indoor-turf fields available by the hour","https://www.extremestudioperformance.com/fields/"
"Soccer","Lords Indoor Sports","Cricket; soccer","Plano","https://lordsindoorsports.com/","Website contact form","Plano, TX","Soccer field rental and indoor leagues","https://lordsindoorsports.com/cricket-academy/"
"Soccer","Ultimate Indoor","Indoor soccer","Mesquite","https://www.ultimateindoormesquite.com/","Website rental inquiry","Mesquite, TX 75149","Published 5v5 indoor field rental","https://www.ultimateindoormesquite.com/rental-1"
"Soccer","Soccer Plaza","Indoor soccer; training","Southlake","https://www.soccerplaza.biz/","Field rental form on website","Southlake, TX","Full-size pitch and training-field rentals","https://www.soccerplaza.biz/"
"Racquet / Badminton","Plano Badminton Center","Badminton","Plano","https://planobadmintoncenter.com/","Website court-rental booking","Plano, TX","Membership and court rentals","https://planobadmintoncenter.com/"
"Racquet / Badminton","Carrollton Badminton Center","Badminton","Carrollton","https://www.carrolltonbadminton.com/","Website contact/booking","2052 McKenzie Dr, Carrollton, TX 75006","Paid indoor badminton play","https://www.carrolltonbadminton.com/"
"Racquet / Badminton","Irving Badminton Center","Badminton","Irving","https://www.irvingbadminton.com/","Website contact/booking","1800 Hurd Dr, Irving, TX 75038","Paid indoor badminton play","https://www.irvingbadminton.com/"
"Baseball / Softball","D-BAT","Baseball; softball batting cages","Allen","https://www.dbatallen.com/","Website contact/booking","Allen, TX","Indoor batting cages and training","https://www.dbatallen.com/"
"Baseball / Softball","D-BAT DFW","Baseball; softball batting cages","Southlake","https://dbatdfw.com/","817-251-4902","415 S Nolen Dr, Southlake, TX 76092","Cage and facility rentals","https://www.loc8nearme.com/texas/southlake/d-bat-dfw-baseball-softball-academy/8475869/"
"Baseball / Softball","Train Station Baseball Academy","Baseball; softball","Argyle","https://www.tsbaseballacademy.com/","Website contact/booking","Argyle, TX","Batting-cage rentals and memberships","https://www.tsbaseballacademy.com/"
"Baseball / Softball","Pastime Training Center","Baseball; softball","Prosper","https://pastimetrainingcenter.com/","Website contact/booking","Prosper, TX","Cage rentals and outdoor turf-field rentals","https://pastimetrainingcenter.com/"
"Baseball / Softball","60/90 Baseball Facility","Baseball; softball","DFW – confirm city","https://6090baseball.com/","Website booking","DFW location listed on website","HitTrax and indoor/outdoor rental booking","https://6090baseball.com/about/"
